F606W err (muJy),F814W err (muJy),F125W err (muJy),F160W err (muJy),F606W/F814W err,F814W/F125W err,F125W/F160W err
0.0160236,0.0180057,0.0207717,0.0193759,0.14619255881913926,0.10573833765725711,0.07318807079665443
0.0177495,0.0210589,0.0277383,0.0254026,0.1047310759098135,0.09304009091347763,0.07790124736996674
0.0286339,0.0345765,0.0421274,0.0382939,0.07767070176476941,0.039528348039685426,0.03611012155994839
0.0248706,0.0310791,0.0383474,0.0340386,0.9587687719238928,0.1605395036262758,0.17518012961665297
0.0140926,0.0167146,0.0207234,0.0190794,0.19207059396400028,0.11845786822132867,0.08779263761762544
0.0240395,0.025926,0.0244543,0.0205495,0.03565454746851822,0.04444877893835668,0.04273179066483785
0.0258008,0.0313495,0.0334852,0.0297426,0.05648913389257127,0.054209659301445424,0.04975912822571589
0.0189042,0.023073,0.0593535,0.0529864,0.032180843135306114,0.021411067957153303,0.03091166581096215
0.0344552,0.0433953,0.0451491,0.0402415,0.06743793070154282,0.03413320634335382,0.039467761867056736
0.01836,0.0225616,0.0382226,0.035122,0.24454655193801028,0.17045380576989902,0.1402739664991937
0.015137,0.017039,0.0175871,0.0163791,0.5463338614723121,0.16362871204280538,0.18585595937204097
0.0136332,0.0165203,0.0194367,0.0169807,0.1668089176077894,0.18315149487264143,0.10688461013412473
0.0319149,0.0418331,0.0549512,0.0501447,0.02998038594666092,0.013038496625558076,0.012728543844154587
0.0264375,0.0329417,0.0714806,0.0507943,0.009900730059528974,0.015112918730601185,0.019955364374349388
0.021472,0.0245678,0.0229569,0.0199093,0.1563552917208796,0.05696028524624562,0.04838159699278265
0.0174121,0.020585,0.0242641,0.0220004,0.11965440647590488,0.08334357799034253,0.050272079606515134
0.0286784,0.0368645,0.0456523,0.0378548,0.01322671551538536,0.015697306546592092,0.016725711689774103
0.0107331,0.0132731,0.0168456,0.0164268,0.3667590974504023,0.1311963051009482,0.1735083422516007
0.0333145,0.0460606,0.0558883,0.0498596,0.014675299407507936,0.011857707884622941,0.011663353371504486
0.00939318,0.0111111,0.066942,0.0179755,0.4531614151558903,0.7883592938386563,0.6379773082657102
0.016567,0.0217938,0.0259443,0.0227158,0.061773661329315555,0.051917576953548004,0.056548309624862354
0.0170648,0.0202243,0.0252814,0.0222947,0.15020946912590505,0.06110781016287817,0.077849647858168
0.00856483,0.0109567,0.0173799,0.0157614,0.11505779972765552,0.1855785229532828,0.16166260262607177
0.0256279,0.0303104,0.0355776,0.0321993,0.09081005624851418,0.08120613874041688,0.05431556221915271
0.0215552,0.025163,0.0222029,0.0201127,0.39186499013685955,0.2157791531562193,0.21056553280508872
0.0149389,0.0180851,0.021111,0.0192587,0.25314193385577094,0.27878699445532457,0.18057955721543958
0.03057,0.0344325,0.0402499,0.0371587,0.13350282569239447,0.0329483715381914,0.028213294243134807
0.010907,0.0135996,0.0242334,0.0232341,0.06979752522514127,0.08977015345541063,0.09926755374376083
0.0129417,0.0171258,0.0196999,0.0175555,0.06130173397641416,0.07611605844670215,0.07567919724183966
0.0145527,0.0164716,0.0322058,0.0285185,0.14953887489076637,0.0630929951330627,0.08192260925996026
0.00949545,0.0119453,0.0200742,0.0180291,0.13111325689009576,0.10025105647789402,0.1365880128431374
0.0256353,0.0310772,0.055116,0.0556868,0.1561347905073665,0.2864014060781533,0.15690365727704747
0.0138951,0.0175326,0.0263047,0.0227284,0.04261044618960674,0.052944651586003345,0.05978864295796862
0.0131797,0.0161882,0.0195084,0.0178782,0.3765427726947101,0.18653087349237124,0.18051038061823807
0.0140328,0.0171698,0.0207639,0.018055,0.1575271060006536,0.09675299712366489,0.10843536789795388
0.0167597,0.0209775,0.0244875,0.0219367,0.1393415239544434,0.09227276550941513,0.062209580817557085
0.0115822,0.0143329,0.0173836,0.0159677,0.126607394246755,0.30789005998305324,0.11884267779876004
0.0124129,0.0149616,0.0174658,0.0160344,0.25869241082822236,0.23557166903268484,0.10744670638629439
0.0144612,0.0178148,0.0317363,0.0294189,0.1423248649439967,0.16242615841290417,0.14546959824613362
0.0173865,0.0203932,0.0395029,0.0310178,0.11132674303798862,0.08423745694677282,0.0760304073635607
0.00967268,0.0129027,0.0175192,0.0159391,0.08874144869826203,0.24315850382202273,0.1628568522939602
0.0104886,0.0127647,0.0206525,0.018835,0.11280848306355754,0.07610836329686296,0.07301450219378959
0.0148655,0.0193058,0.0234247,0.0207674,0.13740193506894205,0.14190033429711757,0.1180648464952908
0.0285322,0.0364122,0.0845413,0.0571193,0.023467735647553237,0.025995324866769993,0.042040966233283586
0.019274,0.0235313,0.0363544,0.031312,0.017709382643442472,0.021079068626596486,0.022840709631607906
